DATE,TIMESTAMP,APP ERROR DETAILS,APPLICATION HOSTNAME
NA,NA," ERROR => DpCalcTimeSlice: bad time interval [(1578962002/99157), (157896200299113)] [dpxxwp.c     2199]",dev_di
NA,NA," ERROR => DpCalcTimeSlice: bad time interval [(1578981892/101404), (1578981892101403)] [dpxxwp.c     2199]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W17 (pid 30661) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W19 (pid 30664) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W6 (pid 30650) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W13 (pid 30657) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W29 (pid 19917) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W7 (pid 14122) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W22 (pid 30668) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W5 (pid 30649) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W25 (pid 8172) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W0 (pid 30644) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W39 (pid 30685) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W23 (pid 30669) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W26 (pid 24952) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W10 (pid 13084) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W9 (pid 30653) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W30 (pid 30676) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W30 (pid 12808) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W15 (pid 30659) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W5 (pid 28814) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W21 (pid 18362) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W30 (pid 12601) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W18 (pid 26900) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W26 (pid 10879) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W28 (pid 3709) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA, ERROR => DpSesGetWorkerType: invalid T61 [dpSession.c  2141],dev_di
NA,NA, ERROR => DpRqGetRequestQueueOfRequest: T61_U6151_M0 invalid ? [dpxxrq.c     1646],dev_di
NA,NA," ERROR => DpHdlDeadWp: W13 (pid 25612) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W23 (pid 8501) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W24 (pid 7858) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W20 (pid 13878) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W3 (pid 5040) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W32 (pid 13345) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W10 (pid 18165) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W15 (pid 10568) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W1 (pid 7427) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W27 (pid 4900) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W28 (pid 6680) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W0 (pid 5015) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W29 (pid 14053) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W14 (pid 30538) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W7 (pid 8918) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W2 (pid 10005) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W42 (pid 17697) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W6 (pid 24913) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W84 (pid 5767) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W51 (pid 10507) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W30 (pid 7042) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W44 (pid 5536) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W41 (pid 29069) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W2 (pid 16631) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W23 (pid 15552) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W3 (pid 16343) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W9 (pid 22580) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W25 (pid 30823) died (severity=0, status=11) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W20 (pid 29909) died (severity=0, status=11) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W32 (pid 31217) died (severity=0, status=11) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W19 (pid 20013) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
