DATE,TIMESTAMP,APP ERROR DETAILS,APPLICATION HOSTNAME
01/23/2020,06:38:42, ERROR [[10.105.129.16] ] () [] [com.emc.propel.services.asyncsave.impl.DefaultQuoteUpdatedFieldsFinder][LoggingUtil:log:235] [63825FBA9CDAB0F902216FC56C6CACBC-n2] An error occurred during the attempt to get value for field 'territories',sapappprp01
01/23/2020,06:39:11, ERROR [[10.105.129.23] ] () [] [de.hybris.platform.servicelayer.security.spring.HybrisSessionFixationProtectionStrategy][HybrisSessionFixationProtectionStrategy:createNewSessionAndMigrate:88] [36CED839074BBF44E40CCF76E1E23A14-n2] Your servlet container did not change the http session ID when a new session was created. You will not be adequately protected against session-fixation attacks,sapappprp01
01/23/2020,06:40:22, ERROR [[89.101.242.46] ] () [] [de.hybris.platform.servicelayer.security.spring.HybrisSessionFixationProtectionStrategy][HybrisSessionFixationProtectionStrategy:createNewSessionAndMigrate:88] [6D499094F53D72B88AD00805A5E55188-n1] Your servlet container did not change the http session ID when a new session was created. You will not be adequately protected against session-fixation attacks,sapappprp01
01/23/2020,06:40:29, ERROR [[10.41.27.118] ] () [] [com.emc.propel.services.asyncsave.impl.DefaultQuoteUpdatedFieldsFinder][LoggingUtil:log:235] [36D583D8FB419B13A7889083F61F83F6-n1] An error occurred during the attempt to get value for field 'territories',sapappprp01
01/23/2020,06:40:43, ERROR [[10.41.27.195] ] () [] [com.emc.propel.storefront.exceptions.EmcSimpleMappingExceptionResolver][EmcSimpleMappingExceptionResolver:doResolveException:42] [0C4134F7C3CC44DCFB2F72EF486DCFFE-n1] ,sapappprp01
01/23/2020,06:40:45, ERROR [[10.105.129.32] ] () [] [de.hybris.platform.servicelayer.security.spring.HybrisSessionFixationProtectionStrategy][HybrisSessionFixationProtectionStrategy:createNewSessionAndMigrate:88] [DF5FB0338479A679A40C93399FF17DAD-n2] Your servlet container did not change the http session ID when a new session was created. You will not be adequately protected against session-fixation attacks,sapappprp01
01/23/2020,06:41:02, ERROR [[10.28.153.6] ] () [] [de.hybris.platform.servicelayer.security.spring.HybrisSessionFixationProtectionStrategy][HybrisSessionFixationProtectionStrategy:createNewSessionAndMigrate:88] [20AF8C8D9243650500F1DE995256C9C9-n2] Your servlet container did not change the http session ID when a new session was created. You will not be adequately protected against session-fixation attacks,sapappprp01
01/23/2020,06:41:26, ERROR [[10.41.27.195] ] () [] [com.emc.propel.storefront.exceptions.EmcSimpleMappingExceptionResolver][EmcSimpleMappingExceptionResolver:doResolveException:42] [0C4134F7C3CC44DCFB2F72EF486DCFFE-n1] ,sapappprp01
01/23/2020,06:41:30, ERROR [[31.219.119.94] ] () [] [de.hybris.platform.servicelayer.security.spring.HybrisSessionFixationProtectionStrategy][HybrisSessionFixationProtectionStrategy:createNewSessionAndMigrate:88] [CC7B8D74A4415A222B7036A022BB142E-n2] Your servlet container did not change the http session ID when a new session was created. You will not be adequately protected against session-fixation attacks,sapappprp01
01/23/2020,06:41:56, ERROR [[86.120.194.120] ] () [] [de.hybris.platform.servicelayer.security.spring.HybrisSessionFixationProtectionStrategy][HybrisSessionFixationProtectionStrategy:createNewSessionAndMigrate:88] [5AEAF3F70A9F26377858C87E0DEF4DA9-n2] Your servlet container did not change the http session ID when a new session was created. You will not be adequately protected against session-fixation attacks,sapappprp01
